generation,best_fitness,mean_fitness,best_macro_f1_val,best_recall_high_val,best_interpretability_penalty,best_deviation_penalty
46,0.39158855207444,0.39127164988991053,0.49286269286269285,0.25,0.0001774932637102941,0.020467824952168034
47,0.39177501621025856,0.3913628724408085,0.49286269286269285,0.25,0.0,0.019712997536785553
48,0.40811376189794996,0.3917369576284216,0.5042042612066528,0.275,5.4535779118830276e-05,0.02198943835109007
49,0.40818640824705266,0.3920872747412093,0.5042042612066528,0.275,4.029847639292764e-19,0.021680742384695317
50,0.40818640824705266,0.39269388638999736,0.5042042612066528,0.275,4.029847639292764e-19,0.021680742384695317
51,0.40818640824705266,0.393007312310582,0.5042042612066528,0.275,4.029847639292764e-19,0.021680742384695317
52,0.40818640824705266,0.3944144805650448,0.5042042612066528,0.275,4.029847639292764e-19,0.021680742384695317
53,0.40818640824705266,0.39956067374225224,0.5042042612066528,0.275,4.029847639292764e-19,0.021680742384695317
54,0.40818640824705266,0.4078575355770289,0.5042042612066528,0.275,4.029847639292764e-19,0.021680742384695317
55,0.4082240153864426,0.4080419276129821,0.5042042612066528,0.275,3.731298160581155e-06,0.021488975389585368
56,0.40832369247971506,0.4081040301655151,0.5042042612066528,0.275,0.0,0.020994321221383408
57,0.40832369247971506,0.4081585845516448,0.5042042612066528,0.275,0.0,0.020994321221383408
58,0.40837132201772874,0.408195278945792,0.5042042612066528,0.275,2.5569020111885044e-13,0.020756173531059473
59,0.4083718268537689,0.40823170822106564,0.5042042612066528,0.275,0.0,0.02075364935111426
60,0.408411819110734,0.4082802962822179,0.5042042612066528,0.275,0.0,0.020553688066288687
61,0.40841380894027235,0.4083105100438455,0.5042042612066528,0.275,6.5998829712517256e-15,0.0205437389185904
62,0.40848244778046067,0.40834533014609037,0.5042042612066528,0.275,7.883846997338178e-06,0.020192660870657998
63,0.40848244778046067,0.4083717562045547,0.5042042612066528,0.275,7.883846997338178e-06,0.020192660870657998
64,0.4085137986555528,0.4084085240414631,0.5042042612066528,0.275,2.8405721356695344e-05,0.020015384620837802
65,0.4085832689266874,0.40843257739423255,0.5042042612066528,0.275,4.116915134141487e-06,0.0196923220713877
66,0.4085840862594836,0.40846169198339727,0.5042042612066528,0.275,0.0,0.019692352322540664
67,0.4086020250021362,0.4084936392704041,0.5042042612066528,0.275,0.0,0.019602658609277724
68,0.408827146826945,0.4085311570509446,0.5042042612066528,0.275,8.506863587677395e-08,0.018476964416598067
69,0.408827146826945,0.40856959459777503,0.5042042612066528,0.275,8.506863587677395e-08,0.018476964416598067
70,0.408827146826945,0.40860872808108956,0.5042042612066528,0.275,8.506863587677395e-08,0.018476964416598067
71,0.408827146826945,0.4086411494469407,0.5042042612066528,0.275,8.506863587677395e-08,0.018476964416598067
72,0.40883545303223096,0.4086852901329766,0.5042042612066528,0.275,8.506863587677395e-08,0.018435433390168284
73,0.40885315333672406,0.4087234851167031,0.5042042612066528,0.275,1.5564652580735812e-14,0.018347016936322805
